 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.50600E+00  0.94881E+00  0.94881E+00
  0.51000E+00  0.94878E+00  0.94878E+00
  0.51400E+00  0.94872E+00  0.94872E+00
  0.51800E+00  0.94864E+00  0.94864E+00
  0.52200E+00  0.94854E+00  0.94854E+00
  0.52600E+00  0.94841E+00  0.94841E+00
  0.53000E+00  0.94826E+00  0.94826E+00
  0.53400E+00  0.94808E+00  0.94808E+00
  0.53800E+00  0.94788E+00  0.94788E+00
  0.54200E+00  0.94765E+00  0.94765E+00
  0.54600E+00  0.94741E+00  0.94741E+00
  0.55000E+00  0.94714E+00  0.94714E+00
  0.55400E+00  0.94684E+00  0.94684E+00
  0.55800E+00  0.94652E+00  0.94652E+00
  0.56200E+00  0.94618E+00  0.94618E+00
  0.56600E+00  0.94581E+00  0.94581E+00
  0.57000E+00  0.94542E+00  0.94542E+00
  0.57400E+00  0.94501E+00  0.94501E+00
  0.57800E+00  0.94457E+00  0.94457E+00
  0.58200E+00  0.94411E+00  0.94411E+00
  0.58600E+00  0.94363E+00  0.94363E+00
  0.59000E+00  0.94313E+00  0.94313E+00
  0.59400E+00  0.94260E+00  0.94260E+00
  0.59800E+00  0.94204E+00  0.94204E+00
  0.60200E+00  0.94147E+00  0.94147E+00
  0.60600E+00  0.94087E+00  0.94087E+00
  0.61000E+00  0.94025E+00  0.94025E+00
  0.61400E+00  0.93961E+00  0.93961E+00
  0.61800E+00  0.93894E+00  0.93894E+00
  0.62200E+00  0.93825E+00  0.93825E+00
  0.62600E+00  0.93754E+00  0.93754E+00
  0.63000E+00  0.93681E+00  0.93681E+00
  0.63400E+00  0.93605E+00  0.93605E+00
  0.63800E+00  0.93527E+00  0.93527E+00
  0.64200E+00  0.93447E+00  0.93447E+00
  0.64600E+00  0.93365E+00  0.93365E+00
  0.65000E+00  0.93280E+00  0.93280E+00
  0.65400E+00  0.93193E+00  0.93193E+00
  0.65800E+00  0.93104E+00  0.93104E+00
  0.66200E+00  0.93013E+00  0.93013E+00
  0.66600E+00  0.92920E+00  0.92920E+00
  0.67000E+00  0.92824E+00  0.92824E+00
  0.67400E+00  0.92727E+00  0.92727E+00
  0.67800E+00  0.92627E+00  0.92627E+00
  0.68200E+00  0.92525E+00  0.92525E+00
  0.68600E+00  0.92421E+00  0.92421E+00
  0.69000E+00  0.92315E+00  0.92315E+00
  0.69400E+00  0.92207E+00  0.92207E+00
  0.69800E+00  0.92096E+00  0.92096E+00
  0.70200E+00  0.91984E+00  0.91984E+00
  0.70600E+00  0.91870E+00  0.91870E+00
  0.71000E+00  0.91753E+00  0.91753E+00
  0.71400E+00  0.91634E+00  0.91634E+00
  0.71800E+00  0.91514E+00  0.91514E+00
  0.72200E+00  0.91391E+00  0.91391E+00
  0.72600E+00  0.91266E+00  0.91266E+00
  0.73000E+00  0.91140E+00  0.91140E+00
  0.73400E+00  0.91011E+00  0.91011E+00
  0.73800E+00  0.90880E+00  0.90880E+00
  0.74200E+00  0.90748E+00  0.90748E+00
  0.74600E+00  0.90613E+00  0.90613E+00
  0.75000E+00  0.90477E+00  0.90477E+00
  0.75400E+00  0.90338E+00  0.90338E+00
  0.75800E+00  0.90198E+00  0.90198E+00
  0.76200E+00  0.90056E+00  0.90056E+00
  0.76600E+00  0.89912E+00  0.89912E+00
  0.77000E+00  0.89766E+00  0.89766E+00
  0.77400E+00  0.89618E+00  0.89618E+00
  0.77800E+00  0.89468E+00  0.89468E+00
  0.78200E+00  0.89317E+00  0.89317E+00
  0.78600E+00  0.89163E+00  0.89163E+00
  0.79000E+00  0.89008E+00  0.89008E+00
  0.79400E+00  0.88851E+00  0.88851E+00
  0.79800E+00  0.88693E+00  0.88693E+00
  0.80200E+00  0.88532E+00  0.88532E+00
  0.80600E+00  0.88370E+00  0.88370E+00
  0.81000E+00  0.88206E+00  0.88206E+00
  0.81400E+00  0.88041E+00  0.88041E+00
  0.81800E+00  0.87873E+00  0.87873E+00
  0.82200E+00  0.87704E+00  0.87704E+00
  0.82600E+00  0.87534E+00  0.87534E+00
  0.83000E+00  0.87361E+00  0.87361E+00
  0.83400E+00  0.87188E+00  0.87188E+00
  0.83800E+00  0.87012E+00  0.87012E+00
  0.84200E+00  0.86835E+00  0.86835E+00
  0.84600E+00  0.86656E+00  0.86656E+00
  0.85000E+00  0.86476E+00  0.86476E+00
  0.85400E+00  0.86294E+00  0.86294E+00
  0.85800E+00  0.86111E+00  0.86111E+00
  0.86200E+00  0.85926E+00  0.85926E+00
  0.86600E+00  0.85740E+00  0.85740E+00
  0.87000E+00  0.85552E+00  0.85552E+00
  0.87400E+00  0.85363E+00  0.85363E+00
  0.87800E+00  0.85173E+00  0.85173E+00
  0.88200E+00  0.84981E+00  0.84981E+00
  0.88600E+00  0.84787E+00  0.84787E+00
  0.89000E+00  0.84593E+00  0.84593E+00
  0.89400E+00  0.84397E+00  0.84397E+00
  0.89800E+00  0.84199E+00  0.84199E+00
  0.90200E+00  0.84000E+00  0.84000E+00
  0.90600E+00  0.83800E+00  0.83800E+00
  0.91000E+00  0.83599E+00  0.83599E+00
  0.91400E+00  0.83397E+00  0.83397E+00
  0.91800E+00  0.83193E+00  0.83193E+00
  0.92200E+00  0.82988E+00  0.82988E+00
  0.92600E+00  0.82782E+00  0.82782E+00
  0.93000E+00  0.82574E+00  0.82574E+00
  0.93400E+00  0.82366E+00  0.82366E+00
  0.93800E+00  0.82156E+00  0.82156E+00
  0.94200E+00  0.81946E+00  0.81946E+00
  0.94600E+00  0.81734E+00  0.81734E+00
  0.95000E+00  0.81521E+00  0.81521E+00
  0.95400E+00  0.81307E+00  0.81307E+00
  0.95800E+00  0.81092E+00  0.81092E+00
  0.96200E+00  0.80876E+00  0.80876E+00
  0.96600E+00  0.80659E+00  0.80659E+00
  0.97000E+00  0.80442E+00  0.80442E+00
  0.97400E+00  0.80223E+00  0.80223E+00
  0.97800E+00  0.80003E+00  0.80003E+00
  0.98200E+00  0.79783E+00  0.79783E+00
  0.98600E+00  0.79561E+00  0.79561E+00
  0.99000E+00  0.79339E+00  0.79339E+00
  0.99400E+00  0.79116E+00  0.79116E+00
  0.99800E+00  0.78893E+00  0.78893E+00
  0.10020E+01  0.78668E+00  0.78668E+00
  0.10060E+01  0.78443E+00  0.78443E+00
  0.10100E+01  0.78217E+00  0.78217E+00
  0.10140E+01  0.77990E+00  0.77990E+00
  0.10180E+01  0.77763E+00  0.77763E+00
  0.10220E+01  0.77535E+00  0.77535E+00
  0.10260E+01  0.77307E+00  0.77307E+00
  0.10300E+01  0.77078E+00  0.77078E+00
  0.10340E+01  0.76848E+00  0.76848E+00
  0.10380E+01  0.76618E+00  0.76618E+00
  0.10420E+01  0.76387E+00  0.76387E+00
  0.10460E+01  0.76156E+00  0.76156E+00
  0.10500E+01  0.75925E+00  0.75925E+00
  0.10540E+01  0.75693E+00  0.75693E+00
  0.10580E+01  0.75460E+00  0.75460E+00
  0.10620E+01  0.75228E+00  0.75228E+00
  0.10660E+01  0.74995E+00  0.74995E+00
  0.10700E+01  0.74762E+00  0.74762E+00
  0.10740E+01  0.74528E+00  0.74528E+00
  0.10780E+01  0.74294E+00  0.74294E+00
  0.10820E+01  0.74060E+00  0.74060E+00
  0.10860E+01  0.73826E+00  0.73826E+00
  0.10900E+01  0.73592E+00  0.73592E+00
  0.10940E+01  0.73358E+00  0.73358E+00
  0.10980E+01  0.73123E+00  0.73123E+00
  0.11020E+01  0.72889E+00  0.72889E+00
  0.11060E+01  0.72654E+00  0.72654E+00
  0.11100E+01  0.72420E+00  0.72420E+00
  0.11140E+01  0.72186E+00  0.72186E+00
  0.11180E+01  0.71951E+00  0.71951E+00
  0.11220E+01  0.71717E+00  0.71717E+00
  0.11260E+01  0.71483E+00  0.71483E+00
  0.11300E+01  0.71249E+00  0.71249E+00
  0.11340E+01  0.71016E+00  0.71016E+00
  0.11380E+01  0.70782E+00  0.70782E+00
  0.11420E+01  0.70549E+00  0.70549E+00
  0.11460E+01  0.70317E+00  0.70317E+00
  0.11500E+01  0.70084E+00  0.70084E+00
  0.11540E+01  0.69852E+00  0.69852E+00
  0.11580E+01  0.69621E+00  0.69621E+00
  0.11620E+01  0.69390E+00  0.69390E+00
  0.11660E+01  0.69160E+00  0.69160E+00
  0.11700E+01  0.68930E+00  0.68930E+00
  0.11740E+01  0.68701E+00  0.68701E+00
  0.11780E+01  0.68472E+00  0.68472E+00
  0.11820E+01  0.68244E+00  0.68244E+00
  0.11860E+01  0.68017E+00  0.68017E+00
  0.11900E+01  0.67791E+00  0.67791E+00
  0.11940E+01  0.67565E+00  0.67565E+00
  0.11980E+01  0.67341E+00  0.67341E+00
  0.12020E+01  0.67117E+00  0.67117E+00
  0.12060E+01  0.66894E+00  0.66894E+00
  0.12100E+01  0.66672E+00  0.66672E+00
  0.12140E+01  0.66451E+00  0.66451E+00
  0.12180E+01  0.66232E+00  0.66232E+00
  0.12220E+01  0.66013E+00  0.66013E+00
  0.12260E+01  0.65796E+00  0.65796E+00
  0.12300E+01  0.65580E+00  0.65580E+00
  0.12340E+01  0.65365E+00  0.65365E+00
  0.12380E+01  0.65152E+00  0.65152E+00
