 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         50
  0.25000E-02  0.20140E+00  0.20140E+00
  0.75000E-02  0.20136E+00  0.20136E+00
  0.12500E-01  0.20128E+00  0.20128E+00
  0.17500E-01  0.20117E+00  0.20117E+00
  0.22500E-01  0.20101E+00  0.20101E+00
  0.27500E-01  0.20082E+00  0.20082E+00
  0.32500E-01  0.20058E+00  0.20058E+00
  0.37500E-01  0.20031E+00  0.20031E+00
  0.42500E-01  0.19999E+00  0.19999E+00
  0.47500E-01  0.19964E+00  0.19964E+00
  0.52500E-01  0.19924E+00  0.19924E+00
  0.57500E-01  0.19880E+00  0.19880E+00
  0.62500E-01  0.19832E+00  0.19832E+00
  0.67500E-01  0.19780E+00  0.19780E+00
  0.72500E-01  0.19723E+00  0.19723E+00
  0.77500E-01  0.19662E+00  0.19662E+00
  0.82500E-01  0.19596E+00  0.19596E+00
  0.87500E-01  0.19525E+00  0.19525E+00
  0.92500E-01  0.19449E+00  0.19449E+00
  0.97500E-01  0.19369E+00  0.19369E+00
  0.10250E+00  0.19283E+00  0.19283E+00
  0.10750E+00  0.19192E+00  0.19192E+00
  0.11250E+00  0.19095E+00  0.19095E+00
  0.11750E+00  0.18993E+00  0.18993E+00
  0.12250E+00  0.18885E+00  0.18885E+00
  0.12750E+00  0.18770E+00  0.18770E+00
  0.13250E+00  0.18649E+00  0.18649E+00
  0.13750E+00  0.18521E+00  0.18521E+00
  0.14250E+00  0.18386E+00  0.18386E+00
  0.14750E+00  0.18244E+00  0.18244E+00
  0.15250E+00  0.18094E+00  0.18094E+00
  0.15750E+00  0.17935E+00  0.17935E+00
  0.16250E+00  0.17767E+00  0.17767E+00
  0.16750E+00  0.17589E+00  0.17589E+00
  0.17250E+00  0.17401E+00  0.17401E+00
  0.17750E+00  0.17202E+00  0.17202E+00
  0.18250E+00  0.16990E+00  0.16990E+00
  0.18750E+00  0.16765E+00  0.16765E+00
  0.19250E+00  0.16526E+00  0.16526E+00
  0.19750E+00  0.16270E+00  0.16270E+00
  0.20250E+00  0.15997E+00  0.15997E+00
  0.20750E+00  0.15702E+00  0.15702E+00
  0.21250E+00  0.15385E+00  0.15385E+00
  0.21750E+00  0.15041E+00  0.15041E+00
  0.22250E+00  0.14665E+00  0.14665E+00
  0.22750E+00  0.14251E+00  0.14251E+00
  0.23250E+00  0.13791E+00  0.13791E+00
  0.23750E+00  0.13274E+00  0.13274E+00
  0.24250E+00  0.12680E+00  0.12680E+00
  0.24750E+00  0.11980E+00  0.11980E+00
