 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         50
  0.25000E-02  0.18147E+00  0.18147E+00
  0.75000E-02  0.18143E+00  0.18143E+00
  0.12500E-01  0.18137E+00  0.18137E+00
  0.17500E-01  0.18127E+00  0.18127E+00
  0.22500E-01  0.18113E+00  0.18113E+00
  0.27500E-01  0.18096E+00  0.18096E+00
  0.32500E-01  0.18076E+00  0.18076E+00
  0.37500E-01  0.18052E+00  0.18052E+00
  0.42500E-01  0.18024E+00  0.18024E+00
  0.47500E-01  0.17993E+00  0.17993E+00
  0.52500E-01  0.17959E+00  0.17959E+00
  0.57500E-01  0.17920E+00  0.17920E+00
  0.62500E-01  0.17879E+00  0.17879E+00
  0.67500E-01  0.17833E+00  0.17833E+00
  0.72500E-01  0.17783E+00  0.17783E+00
  0.77500E-01  0.17730E+00  0.17730E+00
  0.82500E-01  0.17672E+00  0.17672E+00
  0.87500E-01  0.17611E+00  0.17611E+00
  0.92500E-01  0.17545E+00  0.17545E+00
  0.97500E-01  0.17475E+00  0.17475E+00
  0.10250E+00  0.17400E+00  0.17400E+00
  0.10750E+00  0.17321E+00  0.17321E+00
  0.11250E+00  0.17237E+00  0.17237E+00
  0.11750E+00  0.17148E+00  0.17148E+00
  0.12250E+00  0.17055E+00  0.17055E+00
  0.12750E+00  0.16955E+00  0.16955E+00
  0.13250E+00  0.16851E+00  0.16851E+00
  0.13750E+00  0.16740E+00  0.16740E+00
  0.14250E+00  0.16623E+00  0.16623E+00
  0.14750E+00  0.16500E+00  0.16500E+00
  0.15250E+00  0.16371E+00  0.16371E+00
  0.15750E+00  0.16234E+00  0.16234E+00
  0.16250E+00  0.16089E+00  0.16089E+00
  0.16750E+00  0.15937E+00  0.15937E+00
  0.17250E+00  0.15776E+00  0.15776E+00
  0.17750E+00  0.15605E+00  0.15605E+00
  0.18250E+00  0.15425E+00  0.15425E+00
  0.18750E+00  0.15233E+00  0.15233E+00
  0.19250E+00  0.15030E+00  0.15030E+00
  0.19750E+00  0.14814E+00  0.14814E+00
  0.20250E+00  0.14583E+00  0.14583E+00
  0.20750E+00  0.14337E+00  0.14337E+00
  0.21250E+00  0.14072E+00  0.14072E+00
  0.21750E+00  0.13786E+00  0.13786E+00
  0.22250E+00  0.13477E+00  0.13477E+00
  0.22750E+00  0.13140E+00  0.13140E+00
  0.23250E+00  0.12770E+00  0.12770E+00
  0.23750E+00  0.12359E+00  0.12359E+00
  0.24250E+00  0.11898E+00  0.11898E+00
  0.24750E+00  0.11369E+00  0.11369E+00
