 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         50
  0.25000E-02  0.31306E+00  0.31306E+00
  0.75000E-02  0.31299E+00  0.31299E+00
  0.12500E-01  0.31287E+00  0.31287E+00
  0.17500E-01  0.31267E+00  0.31267E+00
  0.22500E-01  0.31242E+00  0.31242E+00
  0.27500E-01  0.31210E+00  0.31210E+00
  0.32500E-01  0.31171E+00  0.31171E+00
  0.37500E-01  0.31126E+00  0.31126E+00
  0.42500E-01  0.31074E+00  0.31074E+00
  0.47500E-01  0.31015E+00  0.31015E+00
  0.52500E-01  0.30949E+00  0.30949E+00
  0.57500E-01  0.30877E+00  0.30877E+00
  0.62500E-01  0.30798E+00  0.30798E+00
  0.67500E-01  0.30711E+00  0.30711E+00
  0.72500E-01  0.30617E+00  0.30617E+00
  0.77500E-01  0.30515E+00  0.30515E+00
  0.82500E-01  0.30406E+00  0.30406E+00
  0.87500E-01  0.30289E+00  0.30289E+00
  0.92500E-01  0.30164E+00  0.30164E+00
  0.97500E-01  0.30030E+00  0.30030E+00
  0.10250E+00  0.29888E+00  0.29888E+00
  0.10750E+00  0.29737E+00  0.29737E+00
  0.11250E+00  0.29577E+00  0.29577E+00
  0.11750E+00  0.29407E+00  0.29407E+00
  0.12250E+00  0.29227E+00  0.29227E+00
  0.12750E+00  0.29036E+00  0.29036E+00
  0.13250E+00  0.28835E+00  0.28835E+00
  0.13750E+00  0.28622E+00  0.28622E+00
  0.14250E+00  0.28397E+00  0.28397E+00
  0.14750E+00  0.28158E+00  0.28158E+00
  0.15250E+00  0.27906E+00  0.27906E+00
  0.15750E+00  0.27640E+00  0.27640E+00
  0.16250E+00  0.27358E+00  0.27358E+00
  0.16750E+00  0.27058E+00  0.27058E+00
  0.17250E+00  0.26741E+00  0.26741E+00
  0.17750E+00  0.26403E+00  0.26403E+00
  0.18250E+00  0.26044E+00  0.26044E+00
  0.18750E+00  0.25660E+00  0.25660E+00
  0.19250E+00  0.25250E+00  0.25250E+00
  0.19750E+00  0.24809E+00  0.24809E+00
  0.20250E+00  0.24335E+00  0.24335E+00
  0.20750E+00  0.23821E+00  0.23821E+00
  0.21250E+00  0.23261E+00  0.23261E+00
  0.21750E+00  0.22647E+00  0.22647E+00
  0.22250E+00  0.21966E+00  0.21966E+00
  0.22750E+00  0.21205E+00  0.21205E+00
  0.23250E+00  0.20338E+00  0.20338E+00
  0.23750E+00  0.19328E+00  0.19328E+00
  0.24250E+00  0.18114E+00  0.18114E+00
  0.24750E+00  0.16567E+00  0.16567E+00
