 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         50
  0.25000E-02  0.16792E+00  0.16792E+00
  0.75000E-02  0.16789E+00  0.16789E+00
  0.12500E-01  0.16783E+00  0.16783E+00
  0.17500E-01  0.16774E+00  0.16774E+00
  0.22500E-01  0.16762E+00  0.16762E+00
  0.27500E-01  0.16747E+00  0.16747E+00
  0.32500E-01  0.16728E+00  0.16728E+00
  0.37500E-01  0.16707E+00  0.16707E+00
  0.42500E-01  0.16682E+00  0.16682E+00
  0.47500E-01  0.16655E+00  0.16655E+00
  0.52500E-01  0.16624E+00  0.16624E+00
  0.57500E-01  0.16590E+00  0.16590E+00
  0.62500E-01  0.16552E+00  0.16552E+00
  0.67500E-01  0.16511E+00  0.16511E+00
  0.72500E-01  0.16467E+00  0.16467E+00
  0.77500E-01  0.16419E+00  0.16419E+00
  0.82500E-01  0.16368E+00  0.16368E+00
  0.87500E-01  0.16313E+00  0.16313E+00
  0.92500E-01  0.16254E+00  0.16254E+00
  0.97500E-01  0.16192E+00  0.16192E+00
  0.10250E+00  0.16126E+00  0.16126E+00
  0.10750E+00  0.16055E+00  0.16055E+00
  0.11250E+00  0.15980E+00  0.15980E+00
  0.11750E+00  0.15902E+00  0.15902E+00
  0.12250E+00  0.15818E+00  0.15818E+00
  0.12750E+00  0.15730E+00  0.15730E+00
  0.13250E+00  0.15637E+00  0.15637E+00
  0.13750E+00  0.15539E+00  0.15539E+00
  0.14250E+00  0.15436E+00  0.15436E+00
  0.14750E+00  0.15327E+00  0.15327E+00
  0.15250E+00  0.15213E+00  0.15213E+00
  0.15750E+00  0.15092E+00  0.15092E+00
  0.16250E+00  0.14965E+00  0.14965E+00
  0.16750E+00  0.14831E+00  0.14831E+00
  0.17250E+00  0.14690E+00  0.14690E+00
  0.17750E+00  0.14541E+00  0.14541E+00
  0.18250E+00  0.14383E+00  0.14383E+00
  0.18750E+00  0.14217E+00  0.14217E+00
  0.19250E+00  0.14041E+00  0.14041E+00
  0.19750E+00  0.13854E+00  0.13854E+00
  0.20250E+00  0.13655E+00  0.13655E+00
  0.20750E+00  0.13444E+00  0.13444E+00
  0.21250E+00  0.13218E+00  0.13218E+00
  0.21750E+00  0.12976E+00  0.12976E+00
  0.22250E+00  0.12716E+00  0.12716E+00
  0.22750E+00  0.12434E+00  0.12434E+00
  0.23250E+00  0.12129E+00  0.12129E+00
  0.23750E+00  0.11794E+00  0.11794E+00
  0.24250E+00  0.11425E+00  0.11425E+00
  0.24750E+00  0.11012E+00  0.11012E+00
