 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         50
  0.25000E-02  0.23500E+00  0.23500E+00
  0.75000E-02  0.23496E+00  0.23496E+00
  0.12500E-01  0.23486E+00  0.23486E+00
  0.17500E-01  0.23472E+00  0.23472E+00
  0.22500E-01  0.23454E+00  0.23454E+00
  0.27500E-01  0.23430E+00  0.23430E+00
  0.32500E-01  0.23402E+00  0.23402E+00
  0.37500E-01  0.23369E+00  0.23369E+00
  0.42500E-01  0.23332E+00  0.23332E+00
  0.47500E-01  0.23289E+00  0.23289E+00
  0.52500E-01  0.23241E+00  0.23241E+00
  0.57500E-01  0.23189E+00  0.23189E+00
  0.62500E-01  0.23131E+00  0.23131E+00
  0.67500E-01  0.23068E+00  0.23068E+00
  0.72500E-01  0.22999E+00  0.22999E+00
  0.77500E-01  0.22926E+00  0.22926E+00
  0.82500E-01  0.22846E+00  0.22846E+00
  0.87500E-01  0.22761E+00  0.22761E+00
  0.92500E-01  0.22670E+00  0.22670E+00
  0.97500E-01  0.22573E+00  0.22573E+00
  0.10250E+00  0.22470E+00  0.22470E+00
  0.10750E+00  0.22360E+00  0.22360E+00
  0.11250E+00  0.22243E+00  0.22243E+00
  0.11750E+00  0.22120E+00  0.22120E+00
  0.12250E+00  0.21989E+00  0.21989E+00
  0.12750E+00  0.21851E+00  0.21851E+00
  0.13250E+00  0.21705E+00  0.21705E+00
  0.13750E+00  0.21550E+00  0.21550E+00
  0.14250E+00  0.21387E+00  0.21387E+00
  0.14750E+00  0.21214E+00  0.21214E+00
  0.15250E+00  0.21031E+00  0.21031E+00
  0.15750E+00  0.20838E+00  0.20838E+00
  0.16250E+00  0.20634E+00  0.20634E+00
  0.16750E+00  0.20418E+00  0.20418E+00
  0.17250E+00  0.20188E+00  0.20188E+00
  0.17750E+00  0.19945E+00  0.19945E+00
  0.18250E+00  0.19686E+00  0.19686E+00
  0.18750E+00  0.19410E+00  0.19410E+00
  0.19250E+00  0.19115E+00  0.19115E+00
  0.19750E+00  0.18800E+00  0.18800E+00
  0.20250E+00  0.18461E+00  0.18461E+00
  0.20750E+00  0.18095E+00  0.18095E+00
  0.21250E+00  0.17698E+00  0.17698E+00
  0.21750E+00  0.17264E+00  0.17264E+00
  0.22250E+00  0.16787E+00  0.16787E+00
  0.22750E+00  0.16258E+00  0.16258E+00
  0.23250E+00  0.15662E+00  0.15662E+00
  0.23750E+00  0.14979E+00  0.14979E+00
  0.24250E+00  0.14178E+00  0.14178E+00
  0.24750E+00  0.13197E+00  0.13197E+00
