X,                                          T,                                              var_rho,
3.200320061296224594e-03 9.981245994567871094e-01 9.925200343132019043e-01
3.300330135971307755e-03 9.980673193931579590e-01 9.922922253608703613e-01
3.400339977815747261e-03 9.980099797248840332e-01 9.920641779899597168e-01
3.500350052490830421e-03 9.979526400566101074e-01 9.918361902236938477e-01
3.600360127165913582e-03 9.978953599929809570e-01 9.916085004806518555e-01
3.700369969010353088e-03 9.978380203247070312e-01 9.913806319236755371e-01
3.800380043685436249e-03 9.977807402610778809e-01 9.911530017852783203e-01
3.900390118360519409e-03 9.977232813835144043e-01 9.909247159957885742e-01
4.000400193035602570e-03 9.976659417152404785e-01 9.906969666481018066e-01
4.100410267710685730e-03 9.976086020469665527e-01 9.904692173004150391e-01
4.200419876724481583e-03 9.975512027740478516e-01 9.902412891387939453e-01
4.300429951399564743e-03 9.974938631057739258e-01 9.900135993957519531e-01
4.400440026074647903e-03 9.974364638328552246e-01 9.897857308387756348e-01
4.500450100749731064e-03 9.973791241645812988e-01 9.895581603050231934e-01
4.600460175424814224e-03 9.973216652870178223e-01 9.893301725387573242e-01
4.700470250099897385e-03 9.972643256187438965e-01 9.891026616096496582e-01
4.800479859113693237e-03 9.972068667411804199e-01 9.888747334480285645e-01
4.900489933788776398e-03 9.971494674682617188e-01 9.886470437049865723e-01
5.000500008463859558e-03 9.970920681953430176e-01 9.884194731712341309e-01
5.100510083138942719e-03 9.970346093177795410e-01 9.881916046142578125e-01
5.200520157814025879e-03 9.969771504402160645e-01 9.879638552665710449e-01
5.300530232489109039e-03 9.969197511672973633e-01 9.877363443374633789e-01
5.400539841502904892e-03 9.968623518943786621e-01 9.875088930130004883e-01
5.500549916177988052e-03 9.968048930168151855e-01 9.872812032699584961e-01
5.600559990853071213e-03 9.967474937438964844e-01 9.870538711547851562e-01
5.700570065528154373e-03 9.966899752616882324e-01 9.868260025978088379e-01
5.800580140203237534e-03 9.966325163841247559e-01 9.865985512733459473e-01
5.900590214878320694e-03 9.965750575065612793e-01 9.863710403442382812e-01
6.000600289553403854e-03 9.965175986289978027e-01 9.861435890197753906e-01
6.100609898567199707e-03 9.964601397514343262e-01 9.859161376953125000e-01
6.200619973242282867e-03 9.964025616645812988e-01 9.856883287429809570e-01
6.300630047917366028e-03 9.963451027870178223e-01 9.854609370231628418e-01
6.400640122592449188e-03 9.962876439094543457e-01 9.852336645126342773e-01
6.500650197267532349e-03 9.962301850318908691e-01 9.850063920021057129e-01
6.600660271942615509e-03 9.961727261543273926e-01 9.847791790962219238e-01
6.700669880956411362e-03 9.961151480674743652e-01 9.845514893531799316e-01
6.800679955631494522e-03 9.960575699806213379e-01 9.843238592147827148e-01
6.900690030306577682e-03 9.960001111030578613e-01 9.840967655181884766e-01
7.000700104981660843e-03 9.959425926208496094e-01 9.838694930076599121e-01
7.100710179656744003e-03 9.958850741386413574e-01 9.836422204971313477e-01
7.200720254331827164e-03 9.958274364471435547e-01 9.834145307540893555e-01
7.300729863345623016e-03 9.957699775695800781e-01 9.831875562667846680e-01
7.400739938020706177e-03 9.957123398780822754e-01 9.829599261283874512e-01
7.500750012695789337e-03 9.956548810005187988e-01 9.827330708503723145e-01
7.600760087370872498e-03 9.955973029136657715e-01 9.825057983398437500e-01
7.700770162045955658e-03 9.955397248268127441e-01 9.822785258293151855e-01
7.800780236721038818e-03 9.954821467399597168e-01 9.820512533187866211e-01
7.900790311396121979e-03 9.954245686531066895e-01 9.818241000175476074e-01
8.000800386071205139e-03 9.953669905662536621e-01 9.815969467163085938e-01
8.100810460746288300e-03 9.953095316886901855e-01 9.813703298568725586e-01
8.200820535421371460e-03 9.952518343925476074e-01 9.811427593231201172e-01
8.300829678773880005e-03 9.951942563056945801e-01 9.809157252311706543e-01
8.400839753448963165e-03 9.951365590095520020e-01 9.806882739067077637e-01
8.500849828124046326e-03 9.950790405273437500e-01 9.804615974426269531e-01
8.600859902799129486e-03 9.950213432312011719e-01 9.802342057228088379e-01
8.700869977474212646e-03 9.949637651443481445e-01 9.800073504447937012e-01
8.800880052149295807e-03 9.949060082435607910e-01 9.797797799110412598e-01
8.900890126824378967e-03 9.948484301567077637e-01 9.795529842376708984e-01
9.000900201499462128e-03 9.947907924652099609e-01 9.793260097503662109e-01
9.100910276174545288e-03 9.947331547737121582e-01 9.790990948677062988e-01
9.200920350849628448e-03 9.946755766868591309e-01 9.788724184036254883e-01
9.300930425524711609e-03 9.946179389953613281e-01 9.786455035209655762e-01
9.400940500199794769e-03 9.945601820945739746e-01 9.784182310104370117e-01
9.500949643552303314e-03 9.945026040077209473e-01 9.781916737556457520e-01
9.600959718227386475e-03 9.944449067115783691e-01 9.779646992683410645e-01
9.700969792902469635e-03 9.943872094154357910e-01 9.777377247810363770e-01
9.800979867577552795e-03 9.943295121192932129e-01 9.775108695030212402e-01
9.900989942252635956e-03 9.942718148231506348e-01 9.772839546203613281e-01
1.000100001692771912e-02 9.942141175270080566e-01 9.770571589469909668e-01
1.010101009160280228e-02 9.941564202308654785e-01 9.768303632736206055e-01
1.020102016627788544e-02 9.940987229347229004e-01 9.766036272048950195e-01
1.030103024095296860e-02 9.940410256385803223e-01 9.763768911361694336e-01
1.040104031562805176e-02 9.939832091331481934e-01 9.761497974395751953e-01
1.050105039030313492e-02 9.939255118370056152e-01 9.759231209754943848e-01
1.060106046497821808e-02 9.938678145408630371e-01 9.756965637207031250e-01
