 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.77561E+00  0.77585E+00
  0.60000E-02  0.77827E+00  0.77849E+00
  0.10000E-01  0.78092E+00  0.78113E+00
  0.14000E-01  0.78356E+00  0.78376E+00
  0.18000E-01  0.78619E+00  0.78639E+00
  0.22000E-01  0.78881E+00  0.78900E+00
  0.26000E-01  0.79143E+00  0.79161E+00
  0.30000E-01  0.79404E+00  0.79421E+00
  0.34000E-01  0.79664E+00  0.79681E+00
  0.38000E-01  0.79923E+00  0.79939E+00
  0.42000E-01  0.80181E+00  0.80196E+00
  0.46000E-01  0.80438E+00  0.80453E+00
  0.50000E-01  0.80694E+00  0.80708E+00
  0.54000E-01  0.80949E+00  0.80963E+00
  0.58000E-01  0.81203E+00  0.81216E+00
  0.62000E-01  0.81456E+00  0.81468E+00
  0.66000E-01  0.81708E+00  0.81719E+00
  0.70000E-01  0.81959E+00  0.81969E+00
  0.74000E-01  0.82208E+00  0.82218E+00
  0.78000E-01  0.82456E+00  0.82466E+00
  0.82000E-01  0.82703E+00  0.82712E+00
  0.86000E-01  0.82949E+00  0.82957E+00
  0.90000E-01  0.83193E+00  0.83201E+00
  0.94000E-01  0.83437E+00  0.83444E+00
  0.98000E-01  0.83678E+00  0.83685E+00
  0.10200E+00  0.83919E+00  0.83925E+00
  0.10600E+00  0.84158E+00  0.84163E+00
  0.11000E+00  0.84395E+00  0.84400E+00
  0.11400E+00  0.84631E+00  0.84635E+00
  0.11800E+00  0.84866E+00  0.84869E+00
  0.12200E+00  0.85099E+00  0.85102E+00
  0.12600E+00  0.85330E+00  0.85333E+00
  0.13000E+00  0.85560E+00  0.85562E+00
  0.13400E+00  0.85788E+00  0.85790E+00
  0.13800E+00  0.86015E+00  0.86016E+00
  0.14200E+00  0.86240E+00  0.86241E+00
  0.14600E+00  0.86463E+00  0.86463E+00
  0.15000E+00  0.86685E+00  0.86684E+00
  0.15400E+00  0.86904E+00  0.86904E+00
  0.15800E+00  0.87122E+00  0.87121E+00
  0.16200E+00  0.87339E+00  0.87337E+00
  0.16600E+00  0.87553E+00  0.87551E+00
  0.17000E+00  0.87766E+00  0.87763E+00
  0.17400E+00  0.87977E+00  0.87974E+00
  0.17800E+00  0.88185E+00  0.88182E+00
  0.18200E+00  0.88392E+00  0.88389E+00
  0.18600E+00  0.88597E+00  0.88593E+00
