 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.76560E+00  0.76591E+00
  0.60000E-02  0.76849E+00  0.76879E+00
  0.10000E-01  0.77137E+00  0.77166E+00
  0.14000E-01  0.77424E+00  0.77453E+00
  0.18000E-01  0.77712E+00  0.77739E+00
  0.22000E-01  0.77998E+00  0.78024E+00
  0.26000E-01  0.78284E+00  0.78309E+00
  0.30000E-01  0.78569E+00  0.78594E+00
  0.34000E-01  0.78853E+00  0.78877E+00
  0.38000E-01  0.79137E+00  0.79160E+00
  0.42000E-01  0.79420E+00  0.79442E+00
  0.46000E-01  0.79702E+00  0.79723E+00
  0.50000E-01  0.79983E+00  0.80003E+00
  0.54000E-01  0.80263E+00  0.80283E+00
  0.58000E-01  0.80543E+00  0.80561E+00
  0.62000E-01  0.80821E+00  0.80839E+00
  0.66000E-01  0.81098E+00  0.81115E+00
  0.70000E-01  0.81374E+00  0.81391E+00
  0.74000E-01  0.81650E+00  0.81665E+00
  0.78000E-01  0.81924E+00  0.81938E+00
  0.82000E-01  0.82196E+00  0.82210E+00
  0.86000E-01  0.82468E+00  0.82481E+00
  0.90000E-01  0.82738E+00  0.82751E+00
  0.94000E-01  0.83007E+00  0.83019E+00
  0.98000E-01  0.83275E+00  0.83286E+00
  0.10200E+00  0.83542E+00  0.83552E+00
  0.10600E+00  0.83807E+00  0.83816E+00
  0.11000E+00  0.84070E+00  0.84079E+00
  0.11400E+00  0.84332E+00  0.84340E+00
  0.11800E+00  0.84593E+00  0.84600E+00
  0.12200E+00  0.84852E+00  0.84859E+00
  0.12600E+00  0.85110E+00  0.85116E+00
  0.13000E+00  0.85365E+00  0.85371E+00
  0.13400E+00  0.85620E+00  0.85625E+00
  0.13800E+00  0.85872E+00  0.85877E+00
  0.14200E+00  0.86123E+00  0.86127E+00
  0.14600E+00  0.86373E+00  0.86376E+00
  0.15000E+00  0.86620E+00  0.86623E+00
  0.15400E+00  0.86866E+00  0.86868E+00
  0.15800E+00  0.87109E+00  0.87111E+00
  0.16200E+00  0.87351E+00  0.87352E+00
  0.16600E+00  0.87591E+00  0.87592E+00
  0.17000E+00  0.87830E+00  0.87830E+00
  0.17400E+00  0.88066E+00  0.88065E+00
  0.17800E+00  0.88300E+00  0.88299E+00
