 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.75979E+00  0.76012E+00
  0.60000E-02  0.76279E+00  0.76311E+00
  0.10000E-01  0.76579E+00  0.76610E+00
  0.14000E-01  0.76878E+00  0.76908E+00
  0.18000E-01  0.77177E+00  0.77206E+00
  0.22000E-01  0.77475E+00  0.77504E+00
  0.26000E-01  0.77773E+00  0.77801E+00
  0.30000E-01  0.78071E+00  0.78097E+00
  0.34000E-01  0.78368E+00  0.78393E+00
  0.38000E-01  0.78664E+00  0.78689E+00
  0.42000E-01  0.78959E+00  0.78983E+00
  0.46000E-01  0.79254E+00  0.79277E+00
  0.50000E-01  0.79548E+00  0.79570E+00
  0.54000E-01  0.79842E+00  0.79863E+00
  0.58000E-01  0.80134E+00  0.80154E+00
  0.62000E-01  0.80425E+00  0.80445E+00
  0.66000E-01  0.80716E+00  0.80735E+00
  0.70000E-01  0.81005E+00  0.81023E+00
  0.74000E-01  0.81294E+00  0.81311E+00
  0.78000E-01  0.81582E+00  0.81598E+00
  0.82000E-01  0.81868E+00  0.81883E+00
  0.86000E-01  0.82153E+00  0.82168E+00
  0.90000E-01  0.82437E+00  0.82451E+00
  0.94000E-01  0.82720E+00  0.82733E+00
  0.98000E-01  0.83002E+00  0.83014E+00
  0.10200E+00  0.83282E+00  0.83294E+00
  0.10600E+00  0.83561E+00  0.83572E+00
  0.11000E+00  0.83838E+00  0.83849E+00
  0.11400E+00  0.84114E+00  0.84124E+00
  0.11800E+00  0.84389E+00  0.84398E+00
  0.12200E+00  0.84662E+00  0.84671E+00
  0.12600E+00  0.84934E+00  0.84942E+00
  0.13000E+00  0.85204E+00  0.85211E+00
  0.13400E+00  0.85472E+00  0.85479E+00
  0.13800E+00  0.85739E+00  0.85745E+00
  0.14200E+00  0.86004E+00  0.86009E+00
  0.14600E+00  0.86267E+00  0.86272E+00
  0.15000E+00  0.86529E+00  0.86533E+00
  0.15400E+00  0.86788E+00  0.86792E+00
  0.15800E+00  0.87046E+00  0.87049E+00
  0.16200E+00  0.87302E+00  0.87305E+00
  0.16600E+00  0.87556E+00  0.87558E+00
  0.17000E+00  0.87808E+00  0.87810E+00
  0.17400E+00  0.88059E+00  0.88059E+00
  0.17800E+00  0.88307E+00  0.88307E+00
  0.18200E+00  0.88553E+00  0.88552E+00
  0.18600E+00  0.88797E+00  0.88796E+00
  0.19000E+00  0.89038E+00  0.89037E+00
  0.19400E+00  0.89278E+00  0.89276E+00
  0.19800E+00  0.89515E+00  0.89513E+00
  0.20200E+00  0.89751E+00  0.89748E+00
  0.20600E+00  0.89983E+00  0.89981E+00
  0.21000E+00  0.90214E+00  0.90211E+00
  0.21400E+00  0.90442E+00  0.90439E+00
  0.21800E+00  0.90668E+00  0.90664E+00
  0.22200E+00  0.90892E+00  0.90887E+00
  0.22600E+00  0.91113E+00  0.91108E+00
  0.23000E+00  0.91331E+00  0.91326E+00
  0.23400E+00  0.91548E+00  0.91542E+00
  0.23800E+00  0.91761E+00  0.91755E+00
  0.24200E+00  0.91972E+00  0.91966E+00
  0.24600E+00  0.92181E+00  0.92174E+00
  0.25000E+00  0.92387E+00  0.92379E+00
  0.25400E+00  0.92590E+00  0.92582E+00
  0.25800E+00  0.92790E+00  0.92782E+00
  0.26200E+00  0.92988E+00  0.92980E+00
  0.26600E+00  0.93183E+00  0.93175E+00
  0.27000E+00  0.93376E+00  0.93367E+00
  0.27400E+00  0.93565E+00  0.93556E+00
  0.27800E+00  0.93752E+00  0.93742E+00
  0.28200E+00  0.93936E+00  0.93926E+00
  0.28600E+00  0.94117E+00  0.94107E+00
  0.29000E+00  0.94295E+00  0.94285E+00
  0.29400E+00  0.94470E+00  0.94460E+00
  0.29800E+00  0.94643E+00  0.94632E+00
  0.30200E+00  0.94812E+00  0.94801E+00
  0.30600E+00  0.94978E+00  0.94967E+00
  0.31000E+00  0.95142E+00  0.95130E+00
  0.31400E+00  0.95302E+00  0.95290E+00
  0.31800E+00  0.95459E+00  0.95447E+00
  0.32200E+00  0.95613E+00  0.95601E+00
  0.32600E+00  0.95765E+00  0.95752E+00
  0.33000E+00  0.95912E+00  0.95900E+00
  0.33400E+00  0.96057E+00  0.96044E+00
  0.33800E+00  0.96199E+00  0.96186E+00
  0.34200E+00  0.96337E+00  0.96324E+00
  0.34600E+00  0.96473E+00  0.96459E+00
  0.35000E+00  0.96605E+00  0.96591E+00
  0.35400E+00  0.96733E+00  0.96720E+00
  0.35800E+00  0.96859E+00  0.96845E+00
  0.36200E+00  0.96981E+00  0.96967E+00
  0.36600E+00  0.97100E+00  0.97086E+00
  0.37000E+00  0.97216E+00  0.97201E+00
  0.37400E+00  0.97328E+00  0.97313E+00
  0.37800E+00  0.97437E+00  0.97422E+00
  0.38200E+00  0.97543E+00  0.97528E+00
  0.38600E+00  0.97645E+00  0.97630E+00
  0.39000E+00  0.97744E+00  0.97729E+00
  0.39400E+00  0.97839E+00  0.97824E+00
  0.39800E+00  0.97931E+00  0.97916E+00
  0.40200E+00  0.98020E+00  0.98004E+00
  0.40600E+00  0.98105E+00  0.98089E+00
  0.41000E+00  0.98187E+00  0.98171E+00
  0.41400E+00  0.98265E+00  0.98249E+00
  0.41800E+00  0.98340E+00  0.98324E+00
  0.42200E+00  0.98411E+00  0.98395E+00
  0.42600E+00  0.98479E+00  0.98462E+00
  0.43000E+00  0.98543E+00  0.98527E+00
  0.43400E+00  0.98604E+00  0.98587E+00
  0.43800E+00  0.98661E+00  0.98644E+00
  0.44200E+00  0.98714E+00  0.98698E+00
  0.44600E+00  0.98765E+00  0.98748E+00
  0.45000E+00  0.98811E+00  0.98794E+00
  0.45400E+00  0.98854E+00  0.98837E+00
  0.45800E+00  0.98894E+00  0.98877E+00
  0.46200E+00  0.98930E+00  0.98913E+00
  0.46600E+00  0.98962E+00  0.98945E+00
  0.47000E+00  0.98991E+00  0.98974E+00
  0.47400E+00  0.99016E+00  0.98999E+00
  0.47800E+00  0.99037E+00  0.99020E+00
  0.48200E+00  0.99055E+00  0.99038E+00
  0.48600E+00  0.99070E+00  0.99053E+00
  0.49000E+00  0.99080E+00  0.99063E+00
  0.49400E+00  0.99088E+00  0.99071E+00
  0.49800E+00  0.99091E+00  0.99074E+00
  0.50200E+00  0.99091E+00  0.99074E+00
  0.50600E+00  0.99088E+00  0.99071E+00
  0.51000E+00  0.99080E+00  0.99063E+00
  0.51400E+00  0.99070E+00  0.99053E+00
  0.51800E+00  0.99055E+00  0.99038E+00
  0.52200E+00  0.99037E+00  0.99020E+00
  0.52600E+00  0.99016E+00  0.98999E+00
  0.53000E+00  0.98991E+00  0.98974E+00
  0.53400E+00  0.98962E+00  0.98945E+00
  0.53800E+00  0.98930E+00  0.98913E+00
  0.54200E+00  0.98894E+00  0.98877E+00
  0.54600E+00  0.98854E+00  0.98837E+00
  0.55000E+00  0.98811E+00  0.98794E+00
  0.55400E+00  0.98765E+00  0.98748E+00
  0.55800E+00  0.98714E+00  0.98698E+00
  0.56200E+00  0.98661E+00  0.98644E+00
  0.56600E+00  0.98604E+00  0.98587E+00
  0.57000E+00  0.98543E+00  0.98527E+00
  0.57400E+00  0.98479E+00  0.98462E+00
  0.57800E+00  0.98411E+00  0.98395E+00
  0.58200E+00  0.98340E+00  0.98324E+00
  0.58600E+00  0.98265E+00  0.98249E+00
  0.59000E+00  0.98187E+00  0.98171E+00
  0.59400E+00  0.98105E+00  0.98089E+00
  0.59800E+00  0.98020E+00  0.98004E+00
  0.60200E+00  0.97931E+00  0.97916E+00
  0.60600E+00  0.97839E+00  0.97824E+00
