 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.77094E+00  0.77121E+00
  0.60000E-02  0.77371E+00  0.77397E+00
  0.10000E-01  0.77647E+00  0.77672E+00
  0.14000E-01  0.77922E+00  0.77947E+00
  0.18000E-01  0.78197E+00  0.78221E+00
  0.22000E-01  0.78472E+00  0.78494E+00
  0.26000E-01  0.78745E+00  0.78767E+00
  0.30000E-01  0.79018E+00  0.79039E+00
  0.34000E-01  0.79290E+00  0.79310E+00
  0.38000E-01  0.79561E+00  0.79580E+00
  0.42000E-01  0.79831E+00  0.79850E+00
  0.46000E-01  0.80100E+00  0.80118E+00
  0.50000E-01  0.80369E+00  0.80386E+00
  0.54000E-01  0.80636E+00  0.80652E+00
  0.58000E-01  0.80902E+00  0.80918E+00
  0.62000E-01  0.81168E+00  0.81182E+00
  0.66000E-01  0.81432E+00  0.81446E+00
  0.70000E-01  0.81695E+00  0.81708E+00
  0.74000E-01  0.81957E+00  0.81969E+00
  0.78000E-01  0.82218E+00  0.82229E+00
  0.82000E-01  0.82477E+00  0.82488E+00
  0.86000E-01  0.82735E+00  0.82746E+00
  0.90000E-01  0.82992E+00  0.83002E+00
  0.94000E-01  0.83248E+00  0.83257E+00
  0.98000E-01  0.83502E+00  0.83511E+00
  0.10200E+00  0.83755E+00  0.83763E+00
  0.10600E+00  0.84007E+00  0.84014E+00
  0.11000E+00  0.84257E+00  0.84263E+00
  0.11400E+00  0.84505E+00  0.84511E+00
  0.11800E+00  0.84752E+00  0.84758E+00
  0.12200E+00  0.84998E+00  0.85003E+00
  0.12600E+00  0.85242E+00  0.85246E+00
  0.13000E+00  0.85484E+00  0.85488E+00
  0.13400E+00  0.85725E+00  0.85728E+00
  0.13800E+00  0.85964E+00  0.85967E+00
  0.14200E+00  0.86202E+00  0.86204E+00
  0.14600E+00  0.86437E+00  0.86439E+00
  0.15000E+00  0.86671E+00  0.86672E+00
  0.15400E+00  0.86903E+00  0.86904E+00
  0.15800E+00  0.87134E+00  0.87134E+00
  0.16200E+00  0.87362E+00  0.87362E+00
  0.16600E+00  0.87589E+00  0.87588E+00
  0.17000E+00  0.87814E+00  0.87813E+00
  0.17400E+00  0.88037E+00  0.88035E+00
  0.17800E+00  0.88258E+00  0.88256E+00
  0.18200E+00  0.88477E+00  0.88474E+00
  0.18600E+00  0.88694E+00  0.88691E+00
  0.19000E+00  0.88909E+00  0.88905E+00
  0.19400E+00  0.89122E+00  0.89118E+00
  0.19800E+00  0.89332E+00  0.89328E+00
  0.20200E+00  0.89541E+00  0.89536E+00
  0.20600E+00  0.89748E+00  0.89743E+00
  0.21000E+00  0.89952E+00  0.89947E+00
  0.21400E+00  0.90154E+00  0.90149E+00
  0.21800E+00  0.90355E+00  0.90348E+00
  0.22200E+00  0.90552E+00  0.90546E+00
  0.22600E+00  0.90748E+00  0.90741E+00
  0.23000E+00  0.90941E+00  0.90934E+00
  0.23400E+00  0.91132E+00  0.91125E+00
  0.23800E+00  0.91321E+00  0.91313E+00
  0.24200E+00  0.91507E+00  0.91499E+00
  0.24600E+00  0.91691E+00  0.91683E+00
  0.25000E+00  0.91873E+00  0.91864E+00
  0.25400E+00  0.92052E+00  0.92043E+00
  0.25800E+00  0.92229E+00  0.92219E+00
  0.26200E+00  0.92403E+00  0.92393E+00
  0.26600E+00  0.92575E+00  0.92565E+00
  0.27000E+00  0.92744E+00  0.92734E+00
  0.27400E+00  0.92911E+00  0.92901E+00
  0.27800E+00  0.93075E+00  0.93065E+00
  0.28200E+00  0.93237E+00  0.93226E+00
  0.28600E+00  0.93396E+00  0.93385E+00
  0.29000E+00  0.93553E+00  0.93541E+00
  0.29400E+00  0.93707E+00  0.93695E+00
  0.29800E+00  0.93858E+00  0.93846E+00
  0.30200E+00  0.94007E+00  0.93994E+00
  0.30600E+00  0.94153E+00  0.94140E+00
  0.31000E+00  0.94296E+00  0.94283E+00
  0.31400E+00  0.94436E+00  0.94423E+00
  0.31800E+00  0.94574E+00  0.94561E+00
  0.32200E+00  0.94709E+00  0.94696E+00
  0.32600E+00  0.94842E+00  0.94828E+00
  0.33000E+00  0.94971E+00  0.94957E+00
  0.33400E+00  0.95098E+00  0.95084E+00
  0.33800E+00  0.95222E+00  0.95208E+00
