 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.25000E-03  0.25344E+00  0.24963E+00
  0.75000E-03  0.25344E+00  0.24963E+00
  0.12500E-02  0.25344E+00  0.24963E+00
  0.17500E-02  0.25344E+00  0.24963E+00
  0.22500E-02  0.25344E+00  0.24962E+00
  0.27500E-02  0.25344E+00  0.24962E+00
  0.32500E-02  0.25344E+00  0.24962E+00
  0.37500E-02  0.25343E+00  0.24962E+00
  0.42500E-02  0.25343E+00  0.24962E+00
  0.47500E-02  0.25343E+00  0.24961E+00
  0.52500E-02  0.25343E+00  0.24961E+00
  0.57500E-02  0.25342E+00  0.24961E+00
  0.62500E-02  0.25342E+00  0.24960E+00
  0.67500E-02  0.25341E+00  0.24960E+00
  0.72500E-02  0.25341E+00  0.24959E+00
  0.77500E-02  0.25341E+00  0.24959E+00
  0.82500E-02  0.25340E+00  0.24958E+00
  0.87500E-02  0.25340E+00  0.24958E+00
  0.92500E-02  0.25339E+00  0.24957E+00
  0.97500E-02  0.25338E+00  0.24957E+00
  0.10250E-01  0.25338E+00  0.24956E+00
  0.10750E-01  0.25337E+00  0.24955E+00
  0.11250E-01  0.25336E+00  0.24955E+00
  0.11750E-01  0.25336E+00  0.24954E+00
  0.12250E-01  0.25335E+00  0.24953E+00
  0.12750E-01  0.25334E+00  0.24952E+00
  0.13250E-01  0.25333E+00  0.24951E+00
  0.13750E-01  0.25332E+00  0.24950E+00
  0.14250E-01  0.25332E+00  0.24950E+00
  0.14750E-01  0.25331E+00  0.24949E+00
  0.15250E-01  0.25330E+00  0.24948E+00
  0.15750E-01  0.25329E+00  0.24947E+00
  0.16250E-01  0.25328E+00  0.24946E+00
  0.16750E-01  0.25327E+00  0.24945E+00
  0.17250E-01  0.25326E+00  0.24943E+00
  0.17750E-01  0.25324E+00  0.24942E+00
  0.18250E-01  0.25323E+00  0.24941E+00
  0.18750E-01  0.25322E+00  0.24940E+00
  0.19250E-01  0.25321E+00  0.24939E+00
  0.19750E-01  0.25320E+00  0.24937E+00
  0.20250E-01  0.25318E+00  0.24936E+00
  0.20750E-01  0.25317E+00  0.24935E+00
  0.21250E-01  0.25316E+00  0.24933E+00
  0.21750E-01  0.25314E+00  0.24932E+00
  0.22250E-01  0.25313E+00  0.24931E+00
  0.22750E-01  0.25312E+00  0.24929E+00
  0.23250E-01  0.25310E+00  0.24928E+00
  0.23750E-01  0.25309E+00  0.24926E+00
