 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.25000E-03  0.37319E+00  0.36817E+00
  0.75000E-03  0.37319E+00  0.36817E+00
  0.12500E-02  0.37319E+00  0.36817E+00
  0.17500E-02  0.37319E+00  0.36817E+00
  0.22500E-02  0.37318E+00  0.36817E+00
  0.27500E-02  0.37318E+00  0.36817E+00
  0.32500E-02  0.37318E+00  0.36816E+00
  0.37500E-02  0.37317E+00  0.36816E+00
  0.42500E-02  0.37317E+00  0.36816E+00
  0.47500E-02  0.37317E+00  0.36815E+00
  0.52500E-02  0.37316E+00  0.36815E+00
  0.57500E-02  0.37316E+00  0.36814E+00
  0.62500E-02  0.37315E+00  0.36813E+00
  0.67500E-02  0.37314E+00  0.36813E+00
  0.72500E-02  0.37314E+00  0.36812E+00
  0.77500E-02  0.37313E+00  0.36811E+00
  0.82500E-02  0.37312E+00  0.36811E+00
  0.87500E-02  0.37311E+00  0.36810E+00
  0.92500E-02  0.37311E+00  0.36809E+00
  0.97500E-02  0.37310E+00  0.36808E+00
  0.10250E-01  0.37309E+00  0.36807E+00
  0.10750E-01  0.37308E+00  0.36806E+00
  0.11250E-01  0.37307E+00  0.36805E+00
  0.11750E-01  0.37305E+00  0.36804E+00
  0.12250E-01  0.37304E+00  0.36802E+00
  0.12750E-01  0.37303E+00  0.36801E+00
  0.13250E-01  0.37302E+00  0.36800E+00
  0.13750E-01  0.37300E+00  0.36799E+00
  0.14250E-01  0.37299E+00  0.36797E+00
  0.14750E-01  0.37298E+00  0.36796E+00
  0.15250E-01  0.37296E+00  0.36794E+00
  0.15750E-01  0.37295E+00  0.36793E+00
  0.16250E-01  0.37293E+00  0.36791E+00
  0.16750E-01  0.37292E+00  0.36789E+00
  0.17250E-01  0.37290E+00  0.36788E+00
  0.17750E-01  0.37288E+00  0.36786E+00
  0.18250E-01  0.37286E+00  0.36784E+00
  0.18750E-01  0.37285E+00  0.36782E+00
  0.19250E-01  0.37283E+00  0.36780E+00
  0.19750E-01  0.37281E+00  0.36778E+00
  0.20250E-01  0.37279E+00  0.36776E+00
  0.20750E-01  0.37277E+00  0.36774E+00
  0.21250E-01  0.37275E+00  0.36772E+00
  0.21750E-01  0.37273E+00  0.36770E+00
  0.22250E-01  0.37271E+00  0.36768E+00
  0.22750E-01  0.37268E+00  0.36766E+00
  0.23250E-01  0.37266E+00  0.36763E+00
  0.23750E-01  0.37264E+00  0.36761E+00
  0.24250E-01  0.37262E+00  0.36759E+00
  0.24750E-01  0.37259E+00  0.36756E+00
  0.25250E-01  0.37257E+00  0.36754E+00
  0.25750E-01  0.37254E+00  0.36751E+00
  0.26250E-01  0.37252E+00  0.36749E+00
  0.26750E-01  0.37249E+00  0.36746E+00
  0.27250E-01  0.37247E+00  0.36743E+00
  0.27750E-01  0.37244E+00  0.36740E+00
  0.28250E-01  0.37241E+00  0.36738E+00
  0.28750E-01  0.37238E+00  0.36735E+00
  0.29250E-01  0.37236E+00  0.36732E+00
  0.29750E-01  0.37233E+00  0.36729E+00
  0.30250E-01  0.37230E+00  0.36726E+00
  0.30750E-01  0.37227E+00  0.36723E+00
  0.31250E-01  0.37224E+00  0.36720E+00
  0.31750E-01  0.37221E+00  0.36717E+00
  0.32250E-01  0.37217E+00  0.36713E+00
  0.32750E-01  0.37214E+00  0.36710E+00
  0.33250E-01  0.37211E+00  0.36707E+00
  0.33750E-01  0.37208E+00  0.36703E+00
  0.34250E-01  0.37204E+00  0.36700E+00
  0.34750E-01  0.37201E+00  0.36697E+00
  0.35250E-01  0.37198E+00  0.36693E+00
  0.35750E-01  0.37194E+00  0.36689E+00
  0.36250E-01  0.37191E+00  0.36686E+00
  0.36750E-01  0.37187E+00  0.36682E+00
  0.37250E-01  0.37183E+00  0.36678E+00
  0.37750E-01  0.37180E+00  0.36675E+00
  0.38250E-01  0.37176E+00  0.36671E+00
  0.38750E-01  0.37172E+00  0.36667E+00
  0.39250E-01  0.37168E+00  0.36663E+00
  0.39750E-01  0.37165E+00  0.36659E+00
  0.40250E-01  0.37161E+00  0.36655E+00
  0.40750E-01  0.37157E+00  0.36651E+00
  0.41250E-01  0.37153E+00  0.36647E+00
  0.41750E-01  0.37149E+00  0.36643E+00
  0.42250E-01  0.37144E+00  0.36638E+00
  0.42750E-01  0.37140E+00  0.36634E+00
  0.43250E-01  0.37136E+00  0.36630E+00
  0.43750E-01  0.37132E+00  0.36625E+00
  0.44250E-01  0.37127E+00  0.36621E+00
  0.44750E-01  0.37123E+00  0.36616E+00
  0.45250E-01  0.37119E+00  0.36612E+00
  0.45750E-01  0.37114E+00  0.36607E+00
  0.46250E-01  0.37110E+00  0.36603E+00
  0.46750E-01  0.37105E+00  0.36598E+00
  0.47250E-01  0.37100E+00  0.36593E+00
  0.47750E-01  0.37096E+00  0.36588E+00
  0.48250E-01  0.37091E+00  0.36583E+00
  0.48750E-01  0.37086E+00  0.36579E+00
  0.49250E-01  0.37081E+00  0.36574E+00
  0.49750E-01  0.37076E+00  0.36569E+00
  0.50250E-01  0.37071E+00  0.36563E+00
  0.50750E-01  0.37066E+00  0.36558E+00
  0.51250E-01  0.37061E+00  0.36553E+00
  0.51750E-01  0.37056E+00  0.36548E+00
  0.52250E-01  0.37051E+00  0.36543E+00
  0.52750E-01  0.37046E+00  0.36537E+00
  0.53250E-01  0.37041E+00  0.36532E+00
  0.53750E-01  0.37035E+00  0.36526E+00
  0.54250E-01  0.37030E+00  0.36521E+00
  0.54750E-01  0.37025E+00  0.36515E+00
  0.55250E-01  0.37019E+00  0.36510E+00
  0.55750E-01  0.37014E+00  0.36504E+00
  0.56250E-01  0.37008E+00  0.36498E+00
  0.56750E-01  0.37002E+00  0.36493E+00
  0.57250E-01  0.36997E+00  0.36487E+00
  0.57750E-01  0.36991E+00  0.36481E+00
  0.58250E-01  0.36985E+00  0.36475E+00
  0.58750E-01  0.36979E+00  0.36469E+00
  0.59250E-01  0.36974E+00  0.36463E+00
  0.59750E-01  0.36968E+00  0.36457E+00
  0.60250E-01  0.36962E+00  0.36451E+00
