 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.25000E-03  0.31242E+00  0.30791E+00
  0.75000E-03  0.31242E+00  0.30791E+00
  0.12500E-02  0.31242E+00  0.30791E+00
  0.17500E-02  0.31242E+00  0.30791E+00
  0.22500E-02  0.31242E+00  0.30791E+00
  0.27500E-02  0.31242E+00  0.30790E+00
  0.32500E-02  0.31241E+00  0.30790E+00
  0.37500E-02  0.31241E+00  0.30790E+00
  0.42500E-02  0.31241E+00  0.30789E+00
  0.47500E-02  0.31240E+00  0.30789E+00
  0.52500E-02  0.31240E+00  0.30789E+00
  0.57500E-02  0.31240E+00  0.30788E+00
  0.62500E-02  0.31239E+00  0.30788E+00
  0.67500E-02  0.31239E+00  0.30787E+00
  0.72500E-02  0.31238E+00  0.30787E+00
  0.77500E-02  0.31237E+00  0.30786E+00
  0.82500E-02  0.31237E+00  0.30785E+00
  0.87500E-02  0.31236E+00  0.30785E+00
  0.92500E-02  0.31235E+00  0.30784E+00
  0.97500E-02  0.31235E+00  0.30783E+00
  0.10250E-01  0.31234E+00  0.30782E+00
  0.10750E-01  0.31233E+00  0.30781E+00
  0.11250E-01  0.31232E+00  0.30781E+00
  0.11750E-01  0.31231E+00  0.30780E+00
  0.12250E-01  0.31230E+00  0.30779E+00
  0.12750E-01  0.31229E+00  0.30778E+00
  0.13250E-01  0.31228E+00  0.30777E+00
  0.13750E-01  0.31227E+00  0.30775E+00
  0.14250E-01  0.31226E+00  0.30774E+00
  0.14750E-01  0.31225E+00  0.30773E+00
  0.15250E-01  0.31224E+00  0.30772E+00
  0.15750E-01  0.31222E+00  0.30771E+00
  0.16250E-01  0.31221E+00  0.30769E+00
  0.16750E-01  0.31220E+00  0.30768E+00
  0.17250E-01  0.31219E+00  0.30767E+00
  0.17750E-01  0.31217E+00  0.30765E+00
  0.18250E-01  0.31216E+00  0.30764E+00
  0.18750E-01  0.31214E+00  0.30762E+00
  0.19250E-01  0.31213E+00  0.30761E+00
  0.19750E-01  0.31211E+00  0.30759E+00
