 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.63250E-01  0.27432E+00  0.27011E+00
  0.63750E-01  0.27427E+00  0.27006E+00
  0.64250E-01  0.27422E+00  0.27002E+00
  0.64750E-01  0.27418E+00  0.26997E+00
  0.65250E-01  0.27413E+00  0.26992E+00
  0.65750E-01  0.27408E+00  0.26987E+00
  0.66250E-01  0.27404E+00  0.26982E+00
  0.66750E-01  0.27399E+00  0.26977E+00
  0.67250E-01  0.27394E+00  0.26972E+00
  0.67750E-01  0.27389E+00  0.26967E+00
  0.68250E-01  0.27384E+00  0.26962E+00
  0.68750E-01  0.27379E+00  0.26957E+00
  0.69250E-01  0.27374E+00  0.26952E+00
  0.69750E-01  0.27369E+00  0.26947E+00
  0.70250E-01  0.27364E+00  0.26942E+00
  0.70750E-01  0.27359E+00  0.26936E+00
  0.71250E-01  0.27354E+00  0.26931E+00
  0.71750E-01  0.27349E+00  0.26926E+00
  0.72250E-01  0.27343E+00  0.26920E+00
  0.72750E-01  0.27338E+00  0.26915E+00
  0.73250E-01  0.27333E+00  0.26909E+00
  0.73750E-01  0.27327E+00  0.26904E+00
  0.74250E-01  0.27322E+00  0.26898E+00
  0.74750E-01  0.27317E+00  0.26893E+00
  0.75250E-01  0.27311E+00  0.26887E+00
  0.75750E-01  0.27306E+00  0.26881E+00
  0.76250E-01  0.27300E+00  0.26876E+00
  0.76750E-01  0.27295E+00  0.26870E+00
  0.77250E-01  0.27289E+00  0.26864E+00
  0.77750E-01  0.27283E+00  0.26858E+00
  0.78250E-01  0.27278E+00  0.26852E+00
  0.78750E-01  0.27272E+00  0.26846E+00
  0.79250E-01  0.27266E+00  0.26841E+00
  0.79750E-01  0.27260E+00  0.26835E+00
  0.80250E-01  0.27254E+00  0.26828E+00
  0.80750E-01  0.27248E+00  0.26822E+00
  0.81250E-01  0.27242E+00  0.26816E+00
  0.81750E-01  0.27236E+00  0.26810E+00
  0.82250E-01  0.27230E+00  0.26804E+00
  0.82750E-01  0.27224E+00  0.26798E+00
  0.83250E-01  0.27218E+00  0.26791E+00
  0.83750E-01  0.27212E+00  0.26785E+00
  0.84250E-01  0.27206E+00  0.26779E+00
  0.84750E-01  0.27200E+00  0.26772E+00
  0.85250E-01  0.27193E+00  0.26766E+00
  0.85750E-01  0.27187E+00  0.26759E+00
  0.86250E-01  0.27181E+00  0.26753E+00
  0.86750E-01  0.27174E+00  0.26746E+00
  0.87250E-01  0.27168E+00  0.26739E+00
  0.87750E-01  0.27161E+00  0.26733E+00
  0.88250E-01  0.27155E+00  0.26726E+00
  0.88750E-01  0.27148E+00  0.26719E+00
  0.89250E-01  0.27142E+00  0.26712E+00
  0.89750E-01  0.27135E+00  0.26705E+00
  0.90250E-01  0.27128E+00  0.26699E+00
  0.90750E-01  0.27122E+00  0.26692E+00
  0.91250E-01  0.27115E+00  0.26685E+00
  0.91750E-01  0.27108E+00  0.26678E+00
  0.92250E-01  0.27101E+00  0.26670E+00
  0.92750E-01  0.27094E+00  0.26663E+00
  0.93250E-01  0.27087E+00  0.26656E+00
  0.93750E-01  0.27080E+00  0.26649E+00
  0.94250E-01  0.27073E+00  0.26642E+00
  0.94750E-01  0.27066E+00  0.26634E+00
  0.95250E-01  0.27059E+00  0.26627E+00
  0.95750E-01  0.27052E+00  0.26620E+00
  0.96250E-01  0.27045E+00  0.26612E+00
  0.96750E-01  0.27037E+00  0.26605E+00
  0.97250E-01  0.27030E+00  0.26597E+00
  0.97750E-01  0.27023E+00  0.26590E+00
  0.98250E-01  0.27015E+00  0.26582E+00
  0.98750E-01  0.27008E+00  0.26574E+00
  0.99250E-01  0.27000E+00  0.26567E+00
  0.99750E-01  0.26993E+00  0.26559E+00
  0.10025E+00  0.26985E+00  0.26551E+00
  0.10075E+00  0.26978E+00  0.26543E+00
  0.10125E+00  0.26970E+00  0.26535E+00
  0.10175E+00  0.26962E+00  0.26527E+00
  0.10225E+00  0.26955E+00  0.26519E+00
  0.10275E+00  0.26947E+00  0.26511E+00
  0.10325E+00  0.26939E+00  0.26503E+00
  0.10375E+00  0.26931E+00  0.26495E+00
  0.10425E+00  0.26923E+00  0.26487E+00
  0.10475E+00  0.26915E+00  0.26479E+00
  0.10525E+00  0.26907E+00  0.26470E+00
