 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.25000E-03  0.51332E+00  0.50798E+00
  0.75000E-03  0.51332E+00  0.50798E+00
  0.12500E-02  0.51332E+00  0.50798E+00
  0.17500E-02  0.51332E+00  0.50797E+00
  0.22500E-02  0.51332E+00  0.50797E+00
  0.27500E-02  0.51331E+00  0.50797E+00
  0.32500E-02  0.51331E+00  0.50796E+00
  0.37500E-02  0.51330E+00  0.50796E+00
  0.42500E-02  0.51330E+00  0.50795E+00
  0.47500E-02  0.51329E+00  0.50795E+00
  0.52500E-02  0.51329E+00  0.50794E+00
  0.57500E-02  0.51328E+00  0.50793E+00
  0.62500E-02  0.51327E+00  0.50792E+00
  0.67500E-02  0.51326E+00  0.50791E+00
  0.72500E-02  0.51325E+00  0.50790E+00
  0.77500E-02  0.51324E+00  0.50789E+00
  0.82500E-02  0.51323E+00  0.50788E+00
  0.87500E-02  0.51322E+00  0.50787E+00
  0.92500E-02  0.51320E+00  0.50786E+00
  0.97500E-02  0.51319E+00  0.50784E+00
  0.10250E-01  0.51318E+00  0.50783E+00
  0.10750E-01  0.51316E+00  0.50781E+00
  0.11250E-01  0.51315E+00  0.50780E+00
  0.11750E-01  0.51313E+00  0.50778E+00
  0.12250E-01  0.51311E+00  0.50777E+00
  0.12750E-01  0.51310E+00  0.50775E+00
  0.13250E-01  0.51308E+00  0.50773E+00
  0.13750E-01  0.51306E+00  0.50771E+00
  0.14250E-01  0.51304E+00  0.50769E+00
  0.14750E-01  0.51302E+00  0.50767E+00
  0.15250E-01  0.51300E+00  0.50765E+00
  0.15750E-01  0.51298E+00  0.50763E+00
  0.16250E-01  0.51296E+00  0.50760E+00
  0.16750E-01  0.51293E+00  0.50758E+00
  0.17250E-01  0.51291E+00  0.50756E+00
  0.17750E-01  0.51288E+00  0.50753E+00
  0.18250E-01  0.51286E+00  0.50750E+00
  0.18750E-01  0.51283E+00  0.50748E+00
  0.19250E-01  0.51281E+00  0.50745E+00
  0.19750E-01  0.51278E+00  0.50742E+00
  0.20250E-01  0.51275E+00  0.50740E+00
  0.20750E-01  0.51272E+00  0.50737E+00
  0.21250E-01  0.51269E+00  0.50734E+00
  0.21750E-01  0.51266E+00  0.50731E+00
  0.22250E-01  0.51263E+00  0.50727E+00
  0.22750E-01  0.51260E+00  0.50724E+00
  0.23250E-01  0.51257E+00  0.50721E+00
  0.23750E-01  0.51254E+00  0.50718E+00
  0.24250E-01  0.51250E+00  0.50714E+00
  0.24750E-01  0.51247E+00  0.50711E+00
  0.25250E-01  0.51243E+00  0.50707E+00
  0.25750E-01  0.51240E+00  0.50703E+00
  0.26250E-01  0.51236E+00  0.50700E+00
  0.26750E-01  0.51233E+00  0.50696E+00
  0.27250E-01  0.51229E+00  0.50692E+00
  0.27750E-01  0.51225E+00  0.50688E+00
  0.28250E-01  0.51221E+00  0.50684E+00
  0.28750E-01  0.51217E+00  0.50680E+00
  0.29250E-01  0.51213E+00  0.50676E+00
  0.29750E-01  0.51209E+00  0.50672E+00
  0.30250E-01  0.51205E+00  0.50667E+00
  0.30750E-01  0.51200E+00  0.50663E+00
  0.31250E-01  0.51196E+00  0.50659E+00
  0.31750E-01  0.51192E+00  0.50654E+00
  0.32250E-01  0.51187E+00  0.50650E+00
  0.32750E-01  0.51183E+00  0.50645E+00
  0.33250E-01  0.51178E+00  0.50640E+00
  0.33750E-01  0.51173E+00  0.50635E+00
  0.34250E-01  0.51168E+00  0.50631E+00
  0.34750E-01  0.51164E+00  0.50626E+00
