 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.74320E+00  0.74320E+00
  0.60000E-02  0.74735E+00  0.74735E+00
  0.10000E-01  0.75144E+00  0.75144E+00
  0.14000E-01  0.75546E+00  0.75546E+00
  0.18000E-01  0.75941E+00  0.75941E+00
  0.22000E-01  0.76331E+00  0.76331E+00
  0.26000E-01  0.76715E+00  0.76715E+00
  0.30000E-01  0.77093E+00  0.77093E+00
  0.34000E-01  0.77466E+00  0.77466E+00
  0.38000E-01  0.77833E+00  0.77833E+00
  0.42000E-01  0.78195E+00  0.78195E+00
  0.46000E-01  0.78553E+00  0.78553E+00
  0.50000E-01  0.78905E+00  0.78905E+00
  0.54000E-01  0.79252E+00  0.79252E+00
  0.58000E-01  0.79595E+00  0.79595E+00
  0.62000E-01  0.79934E+00  0.79934E+00
  0.66000E-01  0.80268E+00  0.80268E+00
  0.70000E-01  0.80598E+00  0.80598E+00
  0.74000E-01  0.80924E+00  0.80924E+00
  0.78000E-01  0.81246E+00  0.81246E+00
  0.82000E-01  0.81564E+00  0.81564E+00
  0.86000E-01  0.81879E+00  0.81879E+00
  0.90000E-01  0.82189E+00  0.82189E+00
  0.94000E-01  0.82497E+00  0.82497E+00
  0.98000E-01  0.82800E+00  0.82800E+00
  0.10200E+00  0.83101E+00  0.83101E+00
  0.10600E+00  0.83398E+00  0.83398E+00
  0.11000E+00  0.83692E+00  0.83692E+00
  0.11400E+00  0.83982E+00  0.83982E+00
  0.11800E+00  0.84270E+00  0.84270E+00
  0.12200E+00  0.84554E+00  0.84554E+00
  0.12600E+00  0.84836E+00  0.84836E+00
  0.13000E+00  0.85115E+00  0.85115E+00
  0.13400E+00  0.85390E+00  0.85390E+00
  0.13800E+00  0.85663E+00  0.85663E+00
  0.14200E+00  0.85933E+00  0.85933E+00
  0.14600E+00  0.86201E+00  0.86201E+00
  0.15000E+00  0.86465E+00  0.86465E+00
  0.15400E+00  0.86727E+00  0.86727E+00
  0.15800E+00  0.86987E+00  0.86987E+00
  0.16200E+00  0.87243E+00  0.87243E+00
  0.16600E+00  0.87497E+00  0.87497E+00
  0.17000E+00  0.87749E+00  0.87749E+00
  0.17400E+00  0.87998E+00  0.87998E+00
  0.17800E+00  0.88244E+00  0.88244E+00
  0.18200E+00  0.88488E+00  0.88488E+00
  0.18600E+00  0.88729E+00  0.88729E+00
  0.19000E+00  0.88967E+00  0.88967E+00
  0.19400E+00  0.89204E+00  0.89204E+00
  0.19800E+00  0.89437E+00  0.89437E+00
  0.20200E+00  0.89668E+00  0.89668E+00
  0.20600E+00  0.89897E+00  0.89897E+00
  0.21000E+00  0.90123E+00  0.90123E+00
  0.21400E+00  0.90346E+00  0.90346E+00
  0.21800E+00  0.90567E+00  0.90567E+00
  0.22200E+00  0.90785E+00  0.90785E+00
  0.22600E+00  0.91001E+00  0.91001E+00
  0.23000E+00  0.91214E+00  0.91214E+00
  0.23400E+00  0.91424E+00  0.91424E+00
  0.23800E+00  0.91632E+00  0.91632E+00
  0.24200E+00  0.91837E+00  0.91837E+00
  0.24600E+00  0.92040E+00  0.92040E+00
  0.25000E+00  0.92240E+00  0.92240E+00
  0.25400E+00  0.92437E+00  0.92437E+00
  0.25800E+00  0.92632E+00  0.92632E+00
  0.26200E+00  0.92824E+00  0.92824E+00
  0.26600E+00  0.93013E+00  0.93013E+00
  0.27000E+00  0.93199E+00  0.93199E+00
  0.27400E+00  0.93383E+00  0.93383E+00
  0.27800E+00  0.93564E+00  0.93564E+00
  0.28200E+00  0.93742E+00  0.93742E+00
  0.28600E+00  0.93917E+00  0.93917E+00
  0.29000E+00  0.94089E+00  0.94089E+00
  0.29400E+00  0.94259E+00  0.94259E+00
  0.29800E+00  0.94425E+00  0.94425E+00
  0.30200E+00  0.94589E+00  0.94589E+00
  0.30600E+00  0.94750E+00  0.94750E+00
  0.31000E+00  0.94908E+00  0.94908E+00
  0.31400E+00  0.95063E+00  0.95063E+00
  0.31800E+00  0.95215E+00  0.95215E+00
  0.32200E+00  0.95364E+00  0.95364E+00
  0.32600E+00  0.95510E+00  0.95510E+00
  0.33000E+00  0.95653E+00  0.95653E+00
  0.33400E+00  0.95792E+00  0.95792E+00
  0.33800E+00  0.95929E+00  0.95929E+00
  0.34200E+00  0.96063E+00  0.96063E+00
  0.34600E+00  0.96193E+00  0.96193E+00
  0.35000E+00  0.96321E+00  0.96321E+00
  0.35400E+00  0.96445E+00  0.96445E+00
  0.35800E+00  0.96566E+00  0.96566E+00
  0.36200E+00  0.96684E+00  0.96684E+00
  0.36600E+00  0.96799E+00  0.96799E+00
  0.37000E+00  0.96911E+00  0.96911E+00
  0.37400E+00  0.97019E+00  0.97019E+00
  0.37800E+00  0.97124E+00  0.97124E+00
  0.38200E+00  0.97226E+00  0.97226E+00
  0.38600E+00  0.97325E+00  0.97325E+00
  0.39000E+00  0.97420E+00  0.97420E+00
  0.39400E+00  0.97512E+00  0.97512E+00
  0.39800E+00  0.97601E+00  0.97601E+00
  0.40200E+00  0.97686E+00  0.97686E+00
  0.40600E+00  0.97769E+00  0.97769E+00
  0.41000E+00  0.97847E+00  0.97847E+00
  0.41400E+00  0.97923E+00  0.97923E+00
  0.41800E+00  0.97995E+00  0.97995E+00
  0.42200E+00  0.98064E+00  0.98064E+00
  0.42600E+00  0.98129E+00  0.98129E+00
  0.43000E+00  0.98191E+00  0.98191E+00
  0.43400E+00  0.98249E+00  0.98249E+00
  0.43800E+00  0.98305E+00  0.98305E+00
  0.44200E+00  0.98356E+00  0.98356E+00
  0.44600E+00  0.98405E+00  0.98405E+00
  0.45000E+00  0.98450E+00  0.98450E+00
  0.45400E+00  0.98491E+00  0.98491E+00
  0.45800E+00  0.98529E+00  0.98529E+00
  0.46200E+00  0.98564E+00  0.98564E+00
  0.46600E+00  0.98595E+00  0.98595E+00
  0.47000E+00  0.98622E+00  0.98622E+00
  0.47400E+00  0.98647E+00  0.98647E+00
  0.47800E+00  0.98668E+00  0.98668E+00
  0.48200E+00  0.98685E+00  0.98685E+00
  0.48600E+00  0.98699E+00  0.98699E+00
  0.49000E+00  0.98709E+00  0.98709E+00
  0.49400E+00  0.98716E+00  0.98716E+00
  0.49800E+00  0.98720E+00  0.98720E+00
  0.50200E+00  0.98720E+00  0.98720E+00
  0.50600E+00  0.98716E+00  0.98716E+00
  0.51000E+00  0.98709E+00  0.98709E+00
  0.51400E+00  0.98699E+00  0.98699E+00
  0.51800E+00  0.98685E+00  0.98685E+00
  0.52200E+00  0.98668E+00  0.98668E+00
  0.52600E+00  0.98647E+00  0.98647E+00
  0.53000E+00  0.98622E+00  0.98622E+00
  0.53400E+00  0.98595E+00  0.98595E+00
  0.53800E+00  0.98564E+00  0.98564E+00
  0.54200E+00  0.98529E+00  0.98529E+00
  0.54600E+00  0.98491E+00  0.98491E+00
  0.55000E+00  0.98450E+00  0.98450E+00
  0.55400E+00  0.98405E+00  0.98405E+00
  0.55800E+00  0.98356E+00  0.98356E+00
  0.56200E+00  0.98305E+00  0.98305E+00
  0.56600E+00  0.98249E+00  0.98249E+00
  0.57000E+00  0.98191E+00  0.98191E+00
  0.57400E+00  0.98129E+00  0.98129E+00
  0.57800E+00  0.98064E+00  0.98064E+00
  0.58200E+00  0.97995E+00  0.97995E+00
  0.58600E+00  0.97923E+00  0.97923E+00
  0.59000E+00  0.97847E+00  0.97847E+00
  0.59400E+00  0.97769E+00  0.97769E+00
  0.59800E+00  0.97686E+00  0.97686E+00
  0.60200E+00  0.97601E+00  0.97601E+00
  0.60600E+00  0.97512E+00  0.97512E+00
  0.61000E+00  0.97420E+00  0.97420E+00
  0.61400E+00  0.97325E+00  0.97325E+00
  0.61800E+00  0.97226E+00  0.97226E+00
  0.62200E+00  0.97124E+00  0.97124E+00
