 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.50600E+00  0.96614E+00  0.96614E+00
  0.51000E+00  0.96609E+00  0.96609E+00
  0.51400E+00  0.96600E+00  0.96600E+00
  0.51800E+00  0.96589E+00  0.96589E+00
  0.52200E+00  0.96576E+00  0.96576E+00
  0.52600E+00  0.96559E+00  0.96559E+00
  0.53000E+00  0.96540E+00  0.96540E+00
  0.53400E+00  0.96517E+00  0.96517E+00
  0.53800E+00  0.96492E+00  0.96492E+00
  0.54200E+00  0.96465E+00  0.96465E+00
  0.54600E+00  0.96434E+00  0.96434E+00
  0.55000E+00  0.96401E+00  0.96401E+00
  0.55400E+00  0.96365E+00  0.96365E+00
  0.55800E+00  0.96326E+00  0.96326E+00
  0.56200E+00  0.96284E+00  0.96284E+00
  0.56600E+00  0.96239E+00  0.96239E+00
  0.57000E+00  0.96192E+00  0.96192E+00
  0.57400E+00  0.96142E+00  0.96142E+00
  0.57800E+00  0.96090E+00  0.96090E+00
  0.58200E+00  0.96034E+00  0.96034E+00
  0.58600E+00  0.95976E+00  0.95976E+00
  0.59000E+00  0.95915E+00  0.95915E+00
  0.59400E+00  0.95851E+00  0.95851E+00
  0.59800E+00  0.95785E+00  0.95785E+00
  0.60200E+00  0.95716E+00  0.95716E+00
  0.60600E+00  0.95644E+00  0.95644E+00
  0.61000E+00  0.95570E+00  0.95570E+00
  0.61400E+00  0.95493E+00  0.95493E+00
  0.61800E+00  0.95413E+00  0.95413E+00
  0.62200E+00  0.95330E+00  0.95330E+00
  0.62600E+00  0.95245E+00  0.95245E+00
  0.63000E+00  0.95157E+00  0.95157E+00
  0.63400E+00  0.95067E+00  0.95067E+00
  0.63800E+00  0.94974E+00  0.94974E+00
  0.64200E+00  0.94878E+00  0.94878E+00
  0.64600E+00  0.94780E+00  0.94780E+00
  0.65000E+00  0.94679E+00  0.94679E+00
  0.65400E+00  0.94576E+00  0.94576E+00
  0.65800E+00  0.94470E+00  0.94470E+00
  0.66200E+00  0.94361E+00  0.94361E+00
  0.66600E+00  0.94250E+00  0.94250E+00
  0.67000E+00  0.94137E+00  0.94137E+00
  0.67400E+00  0.94021E+00  0.94021E+00
  0.67800E+00  0.93902E+00  0.93902E+00
  0.68200E+00  0.93781E+00  0.93781E+00
  0.68600E+00  0.93657E+00  0.93657E+00
  0.69000E+00  0.93531E+00  0.93531E+00
  0.69400E+00  0.93403E+00  0.93403E+00
  0.69800E+00  0.93272E+00  0.93272E+00
  0.70200E+00  0.93138E+00  0.93138E+00
  0.70600E+00  0.93003E+00  0.93003E+00
  0.71000E+00  0.92864E+00  0.92864E+00
  0.71400E+00  0.92724E+00  0.92724E+00
  0.71800E+00  0.92581E+00  0.92581E+00
  0.72200E+00  0.92436E+00  0.92436E+00
  0.72600E+00  0.92288E+00  0.92288E+00
  0.73000E+00  0.92138E+00  0.92138E+00
  0.73400E+00  0.91986E+00  0.91986E+00
  0.73800E+00  0.91831E+00  0.91831E+00
  0.74200E+00  0.91675E+00  0.91675E+00
  0.74600E+00  0.91516E+00  0.91516E+00
  0.75000E+00  0.91355E+00  0.91355E+00
  0.75400E+00  0.91191E+00  0.91191E+00
  0.75800E+00  0.91026E+00  0.91026E+00
  0.76200E+00  0.90858E+00  0.90858E+00
  0.76600E+00  0.90688E+00  0.90688E+00
  0.77000E+00  0.90516E+00  0.90516E+00
  0.77400E+00  0.90342E+00  0.90342E+00
  0.77800E+00  0.90165E+00  0.90165E+00
  0.78200E+00  0.89987E+00  0.89987E+00
  0.78600E+00  0.89807E+00  0.89807E+00
  0.79000E+00  0.89624E+00  0.89624E+00
  0.79400E+00  0.89440E+00  0.89440E+00
  0.79800E+00  0.89253E+00  0.89253E+00
  0.80200E+00  0.89065E+00  0.89065E+00
  0.80600E+00  0.88875E+00  0.88875E+00
  0.81000E+00  0.88683E+00  0.88683E+00
  0.81400E+00  0.88488E+00  0.88488E+00
  0.81800E+00  0.88292E+00  0.88292E+00
  0.82200E+00  0.88094E+00  0.88094E+00
  0.82600E+00  0.87895E+00  0.87895E+00
