 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.74461E+00  0.74461E+00
  0.60000E-02  0.74862E+00  0.74862E+00
  0.10000E-01  0.75256E+00  0.75256E+00
  0.14000E-01  0.75645E+00  0.75645E+00
  0.18000E-01  0.76028E+00  0.76028E+00
  0.22000E-01  0.76406E+00  0.76406E+00
  0.26000E-01  0.76779E+00  0.76779E+00
  0.30000E-01  0.77147E+00  0.77147E+00
  0.34000E-01  0.77510E+00  0.77510E+00
  0.38000E-01  0.77868E+00  0.77868E+00
  0.42000E-01  0.78221E+00  0.78221E+00
  0.46000E-01  0.78570E+00  0.78570E+00
  0.50000E-01  0.78914E+00  0.78914E+00
  0.54000E-01  0.79254E+00  0.79254E+00
  0.58000E-01  0.79589E+00  0.79589E+00
  0.62000E-01  0.79920E+00  0.79920E+00
  0.66000E-01  0.80247E+00  0.80247E+00
  0.70000E-01  0.80570E+00  0.80570E+00
  0.74000E-01  0.80889E+00  0.80889E+00
  0.78000E-01  0.81205E+00  0.81205E+00
  0.82000E-01  0.81516E+00  0.81516E+00
  0.86000E-01  0.81824E+00  0.81824E+00
  0.90000E-01  0.82128E+00  0.82128E+00
  0.94000E-01  0.82428E+00  0.82428E+00
  0.98000E-01  0.82725E+00  0.82725E+00
  0.10200E+00  0.83018E+00  0.83018E+00
  0.10600E+00  0.83308E+00  0.83308E+00
  0.11000E+00  0.83594E+00  0.83594E+00
  0.11400E+00  0.83877E+00  0.83877E+00
  0.11800E+00  0.84157E+00  0.84157E+00
  0.12200E+00  0.84434E+00  0.84434E+00
  0.12600E+00  0.84707E+00  0.84707E+00
  0.13000E+00  0.84977E+00  0.84977E+00
  0.13400E+00  0.85244E+00  0.85244E+00
  0.13800E+00  0.85508E+00  0.85508E+00
  0.14200E+00  0.85769E+00  0.85769E+00
  0.14600E+00  0.86026E+00  0.86026E+00
  0.15000E+00  0.86281E+00  0.86281E+00
  0.15400E+00  0.86533E+00  0.86533E+00
  0.15800E+00  0.86782E+00  0.86782E+00
  0.16200E+00  0.87028E+00  0.87028E+00
  0.16600E+00  0.87271E+00  0.87271E+00
  0.17000E+00  0.87511E+00  0.87511E+00
  0.17400E+00  0.87748E+00  0.87748E+00
  0.17800E+00  0.87983E+00  0.87983E+00
  0.18200E+00  0.88214E+00  0.88214E+00
  0.18600E+00  0.88443E+00  0.88443E+00
  0.19000E+00  0.88669E+00  0.88669E+00
  0.19400E+00  0.88892E+00  0.88892E+00
  0.19800E+00  0.89113E+00  0.89113E+00
  0.20200E+00  0.89330E+00  0.89330E+00
  0.20600E+00  0.89545E+00  0.89545E+00
  0.21000E+00  0.89757E+00  0.89757E+00
  0.21400E+00  0.89967E+00  0.89967E+00
  0.21800E+00  0.90174E+00  0.90174E+00
  0.22200E+00  0.90378E+00  0.90378E+00
  0.22600E+00  0.90579E+00  0.90579E+00
  0.23000E+00  0.90777E+00  0.90777E+00
  0.23400E+00  0.90973E+00  0.90973E+00
  0.23800E+00  0.91166E+00  0.91166E+00
  0.24200E+00  0.91357E+00  0.91357E+00
  0.24600E+00  0.91544E+00  0.91544E+00
  0.25000E+00  0.91729E+00  0.91729E+00
  0.25400E+00  0.91911E+00  0.91911E+00
  0.25800E+00  0.92091E+00  0.92091E+00
  0.26200E+00  0.92268E+00  0.92268E+00
  0.26600E+00  0.92442E+00  0.92442E+00
  0.27000E+00  0.92613E+00  0.92613E+00
  0.27400E+00  0.92781E+00  0.92781E+00
  0.27800E+00  0.92947E+00  0.92947E+00
  0.28200E+00  0.93110E+00  0.93110E+00
  0.28600E+00  0.93271E+00  0.93271E+00
  0.29000E+00  0.93428E+00  0.93428E+00
  0.29400E+00  0.93583E+00  0.93583E+00
  0.29800E+00  0.93735E+00  0.93735E+00
  0.30200E+00  0.93884E+00  0.93884E+00
  0.30600E+00  0.94030E+00  0.94030E+00
  0.31000E+00  0.94174E+00  0.94174E+00
  0.31400E+00  0.94315E+00  0.94315E+00
  0.31800E+00  0.94453E+00  0.94453E+00
  0.32200E+00  0.94588E+00  0.94588E+00
  0.32600E+00  0.94720E+00  0.94720E+00
  0.33000E+00  0.94850E+00  0.94850E+00
  0.33400E+00  0.94976E+00  0.94976E+00
  0.33800E+00  0.95100E+00  0.95100E+00
  0.34200E+00  0.95221E+00  0.95221E+00
  0.34600E+00  0.95339E+00  0.95339E+00
  0.35000E+00  0.95454E+00  0.95454E+00
  0.35400E+00  0.95566E+00  0.95566E+00
  0.35800E+00  0.95675E+00  0.95675E+00
  0.36200E+00  0.95782E+00  0.95782E+00
  0.36600E+00  0.95885E+00  0.95885E+00
  0.37000E+00  0.95986E+00  0.95986E+00
  0.37400E+00  0.96083E+00  0.96083E+00
  0.37800E+00  0.96178E+00  0.96178E+00
  0.38200E+00  0.96269E+00  0.96269E+00
  0.38600E+00  0.96358E+00  0.96358E+00
  0.39000E+00  0.96444E+00  0.96444E+00
