 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.20000E-02  0.74843E+00  0.74843E+00
  0.60000E-02  0.75206E+00  0.75206E+00
  0.10000E-01  0.75564E+00  0.75564E+00
  0.14000E-01  0.75917E+00  0.75917E+00
  0.18000E-01  0.76266E+00  0.76266E+00
  0.22000E-01  0.76611E+00  0.76611E+00
  0.26000E-01  0.76951E+00  0.76951E+00
  0.30000E-01  0.77287E+00  0.77287E+00
  0.34000E-01  0.77619E+00  0.77619E+00
  0.38000E-01  0.77946E+00  0.77946E+00
  0.42000E-01  0.78270E+00  0.78270E+00
  0.46000E-01  0.78589E+00  0.78589E+00
  0.50000E-01  0.78905E+00  0.78905E+00
  0.54000E-01  0.79217E+00  0.79217E+00
  0.58000E-01  0.79525E+00  0.79525E+00
  0.62000E-01  0.79829E+00  0.79829E+00
  0.66000E-01  0.80130E+00  0.80130E+00
  0.70000E-01  0.80427E+00  0.80427E+00
  0.74000E-01  0.80720E+00  0.80720E+00
  0.78000E-01  0.81010E+00  0.81010E+00
  0.82000E-01  0.81297E+00  0.81297E+00
  0.86000E-01  0.81580E+00  0.81580E+00
  0.90000E-01  0.81860E+00  0.81860E+00
  0.94000E-01  0.82136E+00  0.82136E+00
  0.98000E-01  0.82409E+00  0.82409E+00
  0.10200E+00  0.82679E+00  0.82679E+00
  0.10600E+00  0.82945E+00  0.82945E+00
  0.11000E+00  0.83209E+00  0.83209E+00
  0.11400E+00  0.83469E+00  0.83469E+00
  0.11800E+00  0.83726E+00  0.83726E+00
  0.12200E+00  0.83980E+00  0.83980E+00
  0.12600E+00  0.84230E+00  0.84230E+00
  0.13000E+00  0.84478E+00  0.84478E+00
  0.13400E+00  0.84723E+00  0.84723E+00
  0.13800E+00  0.84965E+00  0.84965E+00
  0.14200E+00  0.85204E+00  0.85204E+00
  0.14600E+00  0.85439E+00  0.85439E+00
  0.15000E+00  0.85672E+00  0.85672E+00
  0.15400E+00  0.85902E+00  0.85902E+00
  0.15800E+00  0.86129E+00  0.86129E+00
  0.16200E+00  0.86354E+00  0.86354E+00
  0.16600E+00  0.86575E+00  0.86575E+00
  0.17000E+00  0.86794E+00  0.86794E+00
  0.17400E+00  0.87009E+00  0.87009E+00
  0.17800E+00  0.87222E+00  0.87222E+00
  0.18200E+00  0.87433E+00  0.87433E+00
  0.18600E+00  0.87640E+00  0.87640E+00
  0.19000E+00  0.87845E+00  0.87845E+00
  0.19400E+00  0.88047E+00  0.88047E+00
  0.19800E+00  0.88246E+00  0.88246E+00
  0.20200E+00  0.88442E+00  0.88442E+00
  0.20600E+00  0.88636E+00  0.88636E+00
  0.21000E+00  0.88827E+00  0.88827E+00
  0.21400E+00  0.89015E+00  0.89015E+00
  0.21800E+00  0.89201E+00  0.89201E+00
  0.22200E+00  0.89384E+00  0.89384E+00
  0.22600E+00  0.89564E+00  0.89564E+00
  0.23000E+00  0.89742E+00  0.89742E+00
  0.23400E+00  0.89917E+00  0.89917E+00
  0.23800E+00  0.90089E+00  0.90089E+00
  0.24200E+00  0.90259E+00  0.90259E+00
  0.24600E+00  0.90426E+00  0.90426E+00
  0.25000E+00  0.90591E+00  0.90591E+00
  0.25400E+00  0.90752E+00  0.90752E+00
  0.25800E+00  0.90912E+00  0.90912E+00
  0.26200E+00  0.91068E+00  0.91068E+00
  0.26600E+00  0.91222E+00  0.91222E+00
  0.27000E+00  0.91374E+00  0.91374E+00
  0.27400E+00  0.91522E+00  0.91522E+00
  0.27800E+00  0.91668E+00  0.91668E+00
  0.28200E+00  0.91812E+00  0.91812E+00
  0.28600E+00  0.91953E+00  0.91953E+00
  0.29000E+00  0.92091E+00  0.92091E+00
  0.29400E+00  0.92227E+00  0.92227E+00
  0.29800E+00  0.92360E+00  0.92360E+00
  0.30200E+00  0.92491E+00  0.92491E+00
  0.30600E+00  0.92619E+00  0.92619E+00
  0.31000E+00  0.92744E+00  0.92744E+00
  0.31400E+00  0.92867E+00  0.92867E+00
  0.31800E+00  0.92987E+00  0.92987E+00
  0.32200E+00  0.93105E+00  0.93105E+00
  0.32600E+00  0.93220E+00  0.93220E+00
  0.33000E+00  0.93333E+00  0.93333E+00
  0.33400E+00  0.93443E+00  0.93443E+00
  0.33800E+00  0.93550E+00  0.93550E+00
  0.34200E+00  0.93655E+00  0.93655E+00
  0.34600E+00  0.93757E+00  0.93757E+00
  0.35000E+00  0.93856E+00  0.93856E+00
  0.35400E+00  0.93953E+00  0.93953E+00
  0.35800E+00  0.94048E+00  0.94048E+00
